Team,Odds,W-L O/U,Result,Year,id,name,short_name,conference,division
Charlotte Hornets,50000,35.5,39-43 (over),2018,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,50000,42.5,36-46 (under),2017,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Chicago Bulls,12500,42.5,46-36 (over),2021,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,25000,29.5,31-41 (over),2020,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,42500,33.5,22-43 (under),2019,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,50000,30.0,22-60 (under),2018,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,250000,22.0,27-55 (over),2017,6,Chicago Bulls,CHI,EAST,CENTRAL
Washington Wizards,15000,33.5,35-47 (over),2021,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,10000,32.5,34-38 (over),2020,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,125000,27.0,25-47 (under),2019,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,11000,45.5,32-50 (under),2018,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,9000,48.5,43-39 (under),2017,14,Washington Wizards,WAS,EAST,SOUTHEAST
Sacramento Kings,25000,36.5,30-52 (under),2021,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,25000,28.5,31-41 (over),2020,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,15000,37.5,31-41 (under),2019,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,200000,26.0,39-43 (over),2018,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,125000,27.5,27-55 (under),2017,23,Sacramento Kings,SAC,WEST,PACIFIC
San Antonio Spurs,25000,28.5,34-48 (over),2021,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,25000,28.5,33-39 (over),2020,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,6000,46.5,32-39 (under),2019,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,10000,43.5,48-34 (over),2018,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,1800,55.0,47-35 (under),2017,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
Minnesota Timberwolves,25000,35.5,46-36 (over),2021,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,20000,29.5,23-49 (under),2020,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,50000,35.5,19-45 (under),2019,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,25000,41.5,36-46 (under),2018,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,5000,48.5,47-35 (under),2017,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Cleveland Cavaliers,50000,26.5,44-38 (over),2021,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,50000,22.5,22-50 (under),2020,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,150000,24.5,19-46 (under),2019,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,50000,30.5,19-63 (under),2018,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,515,53.5,50-32 (under),2017,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Orlando Magic,50000,22.5,22-60 (under),2021,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,20000,31.5,21-51 (under),2020,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,20000,41.5,33-40 (under),2019,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,75000,31.0,42-40 (over),2018,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,250000,33.5,25-57 (under),2017,13,Orlando Magic,ORL,EAST,SOUTHEAST
Oklahoma City Thunder,50000,23.5,24-58 (over),2021,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,20000,22.5,22-50 (under),2020,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,25000,32.5,44-28 (over),2019,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,3800,48.5,49-33 (over),2018,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,2150,53.5,48-34 (under),2017,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Detroit Pistons,50000,24.5,23-59 (under),2021,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,50000,23.5,20-52 (under),2020,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,25000,37.5,20-46 (under),2019,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,35000,38.5,41-41 (over),2018,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,63000,38.5,39-43 (over),2017,8,Detroit Pistons,DET,EAST,CENTRAL
Houston Rockets,50000,27.5,20-62 (under),2021,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,5000,34.5,17-55 (under),2020,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,700,54.0,44-28 (under),2019,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,1000,56.5,53-29 (under),2018,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,2150,55.5,65-17 (over),2017,25,Houston Rockets,HOU,WEST,SOUTHWEST
