"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-02-10","GSW","SAS","28:52",58,17,4,6,0.6666666666666666,3,7,0.42857142857142855,0.5,0,2,6,6,3,0.25,0.25,0.6666666666666666,0.5384615384615384,0.507725,0.6538461538461539,0.6538461538461539,0,0,0,0,0,22.727272727272727
"2018-02-12","GSW","PHX","29:53",65,22,5,8,0.625,3,9,0.3333333333333333,0.42857142857142855,3,6,4,6,3,0.6,0.6,0.6666666666666666,0.5294117647058824,0.5647433333333333,0.5588235294117647,0.5833333333333334,0,1,0.125,0,0,30.000000000000004
"2018-02-14","GSW","POR","34:26",77,17,3,7,0.42857142857142855,3,10,0.3,0.3,2,2,4,6,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5882352941176471,0.5467735294117647,0.4411764705882353,0.4722222222222222,0,0,0,0,0,29.411764705882355
"2018-02-22","GSW","LAC","37:08",79,44,6,8,0.75,8,11,0.7272727272727273,0.7272727272727273,8,4,8,6,18,0.3333333333333333,0.3333333333333333,0.25,0.5789473684210527,0.5095194444444444,0.9473684210526315,0.9565217391304348,0,0,0,0,0,32.926829268292686
"2018-02-24","GSW","OKC","29:49",62,21,3,7,0.42857142857142855,5,12,0.4166666666666667,0.45454545454545453,0,2,4,15,0,0.3333333333333333,0.3333333333333333,1,0.631578947368421,0.5161361111111111,0.5526315789473685,0.5526315789473685,0,1,0.14285714285714285,0,0,29.166666666666668
"2018-02-26","GSW","NYK","30:18",64,21,4,7,0.5714285714285714,4,9,0.4444444444444444,0.4444444444444444,1,6,2,6,6,0.75,0.75,0.5,0.5625,0.521075,0.625,0.65625,0,1,0.14285714285714285,0,0,27.536231884057973
"2018-02-28","GSW","WAS","35:08",74,25,1,6,0.16666666666666666,4,9,0.4444444444444444,0.4444444444444444,11,0,2,6,6,0,0,0.5,0.6,0.51186,0.4666666666666667,0.6,0,0,0,0,0,33.76623376623377
"2018-03-02","GSW","ATL","23:30",48,28,4,6,0.6666666666666666,4,9,0.4444444444444444,0.4444444444444444,8,8,0,12,0,1,1,1,0.6,0.5632866666666666,0.6666666666666666,0.7777777777777778,0,0,0,0,0,35.294117647058826
"2018-03-06","GSW","BKN","33:56",70,34,6,8,0.75,6,12,0.5,0.5,4,4,8,9,9,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5069775,0.75,0.7727272727272727,0,0,0,0,0,32.89473684210526
"2018-03-08","GSW","SAS","02:23",6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.445,0,0.5,0,0,0,0,0,33.333333333333336
